@@,itemlabel,item,startdate,enddate
->,Johannes Gerckens Bassøe,Q6216700,1925,1932->1933
+++,Helge Ingstad,Q119687,1933,1935
+++,Wolmar Tycho Marlow,,1935,1941
+++,Håkon Balstad,,1945,1956
+++,Odd Birketvedt,,1956,1960
+++,Finn Backer Midtbøe,,1960,1963
+++,Stephen Stephensen,,1967,1970
+++,Fredrik Beichmann,,1970,1974
->,Carl Alexander Wendt,Q5039810,1982,1986->1985
->,Leif Eldring,Q6519382,1986->1985,1991
->,Kjerstin Askholt,Q21795294,2015-10-01->2015,2021-07-01->2021
->,Lars Fause,Q98399126,2021-06-24->2021,
