item,itemLabel,position,positionLabel,start,psid
Q11977297,Ingvild Kjerkol,Q6866170,Norwegian Minister of Health and Care Services,2021-10-14,Q11977297-87f08ed8-4421-32c4-7e51-fdb8dbc2d7c3
Q11979121,Jon-Ivar Nygård,Q6514745,Minister of Transport and Communications,2021-10-14,Q11979121-23c376f9-4fcc-4e35-216f-dcc2df2bfc0e
Q11988487,Marte Mjøs Persen,Q11984312,Minister of Labour and Social Inclusion,2022-03-07,Q11988487-2e0727a1-4838-f8c0-0b05-1eb1db256f1b
Q12006785,Tonje Brenna,Q22981866,Minister of Education and Research,2021-10-14,Q12006785-b55b8c18-4ae9-cd2f-b951-761c3908d1b7
Q13408025,Sandra Borch,Q11992117,Minister of Agriculture and Food,2021-10-14,Q13408025-d4fcb3e9-4a77-546c-5ac5-018bf16b56b0
Q1367573,Odd Roger Enoksen,Q1225156,Minister of Defence,2021-10-14,Q1367573-05e3f43f-4c39-c724-fbb9-122b7e22e73a
Q156540,Anniken Huitfeldt,Q18018541,Foreign Minister of Norway,2021-10-14,Q156540-431710f9-483b-5f42-1769-4bd5ce663f23
Q17107377,Bjørnar Skjæran,Q17010253,Minister of Fisheries and Seafood,2021-10-14,Q17107377-1fc787db-43a7-7bae-f356-3533b96b4f8c
Q17113191,Anne Beathe Tvinnereim,Q4574171,Minister of International Development,2021-10-14,Q17113191-f782a707-4c4a-bf1b-9943-cad8c682fba7
Q17113622,Jan Christian Vestre,Q56489714,Minister of Trade and Industry,2021-10-14,Q17113622-dc52ec0a-4c4f-c453-bf84-25f2c6be004f
Q1772899,Terje Aasland,Q6866276,Minister of Petroleum and Energy,2022-03-07,Q1772899-056cdc71-42e3-e539-8795-3bb8e80bcace
Q19974554,Emilie Enger Mehl,Q1769706,Minister of Justice and Public Security,2021-10-14,Q19974554-29d04ec9-47ec-e2dd-8caa-195392d6c993
Q267320,Espen Barth Eide,Q3356730,Minister of Climate and the Environment,2021-10-14,Q267320-bae0557e-4556-ea9f-57d9-cc7561191f72
Q3432015,Kjersti Toppe,Q14436783,Minister of Children and Families,2021-10-14,Q3432015-a78e6a97-4808-aa5e-baa2-60323c0a6777
Q467948,Jonas Gahr Støre,Q2334076,Prime Minister of Norway,2021-10-14,Q467948-bbe0d9f4-4e63-27a5-4fa7-4c0af9c5d807
Q4761757,Anette Trettebergstuen,Q6866085,Minister of Culture,2021-10-14,Q4761757-6b112f7b-4309-7dbf-688a-2aa8d19fe00e
Q4919832,Bjørn Arild Gram,Q3437006,Minister of Local Government and Regional Development,2021-10-14,Q4919832-a94b85c9-4b15-e5fe-85d4-b141e41ed158
Q548001,Trygve Slagsvold Vedum,Q3734685,Minister of Finance of Norway,2021-10-14,Q548001-88649abb-4a71-0af5-7a77-00e294b90216
Q728444,Ola Borten Moe,Q57338069,Minister of Research and Higher Education,2021-10-14,Q728444-b5282b52-46ef-77d5-d0ca-e9805e9d80db
