name,position
Jonas Gahr Støre,Prime Minister (Labour Party)
Trygve Slagsvold Vedum,Minister of Finance (Centre Party)
Anniken Huitfeldt,Minister of Foreign Affairs (Labour Party)
Ola Borten Moe,Minister of Research and Higher Education (Centre Party)
Bjørnar Selnes Skjæran,Minister of Fisheries and Ocean Policy (Labour Party)
Anne Beathe Tvinnereim,Minister of International Development (Centre Party)
Espen Barth Eide,Minister of climate and environment (Labour Party)
Kjersti Toppe,Minister of Children and Families (Centre Party)
Bjørn Arild Gram,Minister of Defence (Centre Party)
Jon-Ivar Nygård,Minister of Transport (Labour Party)
Marte Mjøs Persen,Minister of Labour and Social Inclusion (Labour Party)
Ingvild Kjerkol,Minister of Health and Care services (Labour Party)
Anette Trettebergstuen,Minister of Culture and Equality (Labour Party)
Jan Christian Vestre,Minister of Trade and Industry (Labour Party)
Tonje Brenna,Minister of Education (Labour Party)
Sandra Borch,Minister of Agriculture and Food (Centre Party)
Emilie Enger Mehl,Minister of Justice and Public Security (Centre Party)
Terje Aasland,Minister of Petroleum and Energy (Labour Party)
Sigbjørn Gjelsvik,Minister of Local Government and Regional Development (Centre Party)
